SMILES,"LogS_1,2-dichloroethane","LogS_1,4-dioxane",LogS_2-butanone,LogS_2-ethoxyethanol,LogS_2-methoxyethanol,LogS_2-propoxyethanol,LogS_DMAc,LogS_DMF,LogS_DMSO,LogS_MTBE,LogS_NMP,LogS_THF,LogS_acetic acid,LogS_acetone,LogS_acetonitrile,LogS_benzene,LogS_chlorobenzene,LogS_chloroform,LogS_cyclohexane,LogS_cyclohexanone,LogS_dichloromethane,LogS_diethyl ether,LogS_ethanol,LogS_ethyl acetate,LogS_ethyl formate,LogS_ethylene glycol,LogS_isobutanol,LogS_isobutyl acetate,LogS_isopentanol,LogS_isopropanol,LogS_isopropyl acetate,LogS_methanol,LogS_methyl acetate,LogS_n-butanol,LogS_n-butyl acetate,LogS_n-heptane,LogS_n-heptanol,LogS_n-hexane,LogS_n-hexanol,LogS_n-octanol,LogS_n-pentanol,LogS_n-pentyl acetate,LogS_n-propanol,LogS_n-propyl acetate,LogS_propylene glycol,LogS_sec-butanol,LogS_tetrachloromethane,LogS_toluene,LogS_transcutol,LogS_water
Br.CC(C)c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.445085761104259,,-0.4917379140907318,,,,,,,,,,
Br.Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,,,-2.8185139809404984,,,,,,,,,,,,,,,,,,,,-1.5881276405973932,,,,,,,,,,,-2.0267942910015297,,,,,,,,,-1.8126534707769515,,,,,,,
Br.Fc1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.01245636815494,,-1.7197027459619088,,,,,,,,,,
Br.c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.422531546321553,,-0.920461951796896,,,,,,,,,,
Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,,,,,,,,,,,,-1.1884831364561244,,-3.087852834187802,,,,,,,,,,-2.7523074078362195,,,,,,,,,,,,,,,,,,,,,,,,-1.4657737806499689,,
Brc1cc(Br)cc(Br)c1,,-0.0265839935096071,,,,,-0.6688791535807865,-0.7780510024614841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccc(NC2=NCCC3(CCCCC3)S2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.725314849786194,,,,,,,,,,,,
Brc1cn[nH]c1,,,,,,,,,,,,,,,,,,,,,,,0.865524991098072,,,,,,,,,0.9205721838779494,,,,,,,,,,,,,,,,,,-0.5042528323121444
Brc1cnc2[nH]ccc2c1,,,,,,,,,,,,,,,-1.0785829746752886,,,,,,-1.2825254753493347,,-0.6643604621380194,-0.6282675180596902,,,,,,-0.7883742610693003,,-0.6582215873165046,-0.3920636518686602,-0.594105023209676,,,,-2.7939501345125857,,,,,-0.7073569998577938,,,,,,,
Brc1sc(Br)c(Br)c1Br,,,,,,,,,,,,-0.1766609984401151,,,,,,-0.4066113921793749,,,,,-1.5087171887851594,-0.8894490379687836,-1.100551465963396,,,,,,,-1.8923665024632168,,-1.3223607118346248,,,,,,,,,-1.4128647081691268,,,,,-0.4051949884372222,,
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,,,,,,,,,,,,,,,,,,,-2.5667621398841893,,,,-0.7182388002919592,,,,,,,-1.1603781565172222,,-0.5970734620488427,,,,,,,,,,,,,,,,-1.4590399578333313,,
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,,,-0.8191482701382892,,,,,,,,,,,-1.047917183230577,-1.1645265372098388,,,,,,,,-1.0891089202125488,-0.7273696726089761,,,,,,-1.46755033465162,-0.6429584354584109,-0.7884423562835867,,-1.2197032061452948,,,,,,,,,-1.1232241258097253,,,,,,,-3.305557013018474
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,,,,,,,,0.1242663032626865,,,,0.3299981298635773,,-0.5934612726050288,,,,,,,,,-1.2292428367492632,-0.4466810227981788,,,,,,-0.9144729589952928,,,-0.6616574722472572,-1.0015540903047164,,,,,,,,,-0.9766753663677676,,,,,,,-2.847822097998232
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,,,,,,,,,,,,,,,-1.6985121577457176,,,,,,,,,,,,,,,-1.9744500116512864,,,,-1.4149645054097186,-0.8174035816450691,,,,,,,,,,,,,,,
C(=N/Nc1ccccc1)\c1ccc[nH]1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.489019458114034
C(=N/Nc1ccccc1)\c1ccco1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.498762457810566
C(=N/Nc1ccccc1)\c1cccs1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.541749745381413
C/C(=C/C(C)=N/c1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C,,,,,,,,,,,,0.3371888722384906,,,,,,,,,,,-1.486449602073045,,,,,,,,,-2.3064207789253905,,,,,,-0.3043551885794303,,,,,,,,,,0.0144214754889627,,
C/C=C/C(=O)O,,,,,,,,1.1979819270639034,,,,,0.8921318586599765,,0.5855294613370328,,,,,,,,0.9046144237070068,0.7629810727409708,,,,,,0.8492174403441888,,0.9424826509252148,,0.6767490756539527,,,,,,,,,,,,,,,,
C/C=C/C=C/C(=O)O,,,,,,,,,,-0.3430613599500514,,,,-0.0514863689372063,-0.7244639741078844,,,,,,,,0.016625073489024,-0.4214442913263125,,,,,,-0.1357284281425779,,0.0730917983402318,,0.0028016393117436,,,,,,,,,-0.2661939873181692,,,,,,,
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3178239776422195,-4.624459850131668
C1=CONN=C1,,,,,,,,0.1327944775013313,0.0846190583343775,,,,,,-0.3268017731089159,,,,,,-0.6987989277572154,,-1.5531330654617173,-1.225330253259756,,-1.549685214892465,,,,-1.878894085869564,,-1.1453828712262184,-1.026504563331129,-1.6619482126977496,,,,,,,,,-1.835950900076174,,,,,,,
C1=Cc2cccc3cccc1c23,,,,,,,,,,,,,,,,,,,,,,,-0.8121784660730709,,,,,,,-0.8939865571746385,,,,-0.6751947438429181,,,,,,,,,,,,,,0.2756449771759081,,
C1=Cc2ccccc2Nc2ccccc21,,-0.3726071965731558,,,,,0.2425426388535654,0.2819234147584372,,,0.5143285857073514,,,-0.5158783745289909,-1.103488668339366,,,,,,,,,-0.806701447485075,,,,-0.9545091169908592,,,-0.936666348520656,,-0.8213997961082306,,-0.834844267482093,,,,,,,,,-0.8093741463529338,,,,,,
C1CCCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.636845917052877
C1CN2CN3CCN(CN1C3)C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8307045906986663
C1N2CN3CN1CN(C2)C3,,,,,,,,,,,,,,,,,,,,,,,-0.7797453808222827,,,,,,,,,-0.2315584787142832,,,,,,,,,,,,,,,,,,
C1OCOCO1,,,,,,,,,,,,,,,,,,,,,,,0.5602540749261318,,,,,,,0.5495273865402042,,0.8173162964074215,,,,,,,,,,,,,,,,,,
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,,,,,-0.8783029088777635,-0.6244623024349303,,,,,,,,,,,,,,,,,-1.0622711486237946,,,,,,,-1.0053235707835464,,-1.4109556116198594,,,,,,,,,,,-0.908917138191491,,,,,,,
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,,,,,,,,,,,,-0.590450209345814,,-2.092367726654968,,,,,,,,,-1.7390345070418731,-2.1281111926315512,-2.276873114839236,,,,,-1.8074834200689904,,-2.079816110084546,,-1.6795890957772706,-2.0437394315332,,,,-1.5857513987573515,,-1.6093810531668242,,-1.6252806815394565,,,-1.7912902447449537,,,,
C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,,,,,,,,-1.567766847814693,,,-1.2401919480455474,,,-1.670535839577029,-2.290105324349112,,,-1.2647037716202396,-3.234336693681223,,-1.813237820900625,,-1.8148102130508328,-1.6775051241322612,-2.385913924026536,,,,,,,-2.094146743408991,-2.00071458832463,-1.5851995585384742,,,,,-2.0890656749256222,-1.9932853523233465,-2.08254781213245,,-1.7101051368599822,,,-2.117328929240239,,,,-3.654372794660381
C=C(CC(=O)O)C(=O)O,,,,,,,,,,,,,,-0.1665999511856259,-1.0552069325313445,,,,,,,,0.145388309330322,-1.004070088561807,,,,,,0.0804200416978661,,0.4678038644157904,,,,,,,,,,,0.009391597543096,,,,,,,0.7414335256316406
C=C1CCC[C@]2(C)C[C@]3(O)OC(=O)C(C)=C3C[C@@H]12,,,,,,,,,,,,,,,,,,,,,,-1.2638177327102404,-0.9349239498494804,-0.606886644353632,,,,,,,,,,,,,,-3.310765128309692,,,,,,,,,,,,
