SMILES,LogS_acetone,LogS_acetonitrile,LogS_ethanol,LogS_ethyl acetate,LogS_isopropanol,LogS_methanol,LogS_n-butanol,LogS_n-propanol,LogS_water
Br.CC(C)c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,,,,,,,,,
Br.Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,,,-1.5881276405973932,,,,-2.0267942910015297,-1.8126534707769515,
Br.Fc1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,,,,,,,,,
Br.c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,,,,,,,,,
Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,-3.087852834187802,,,-2.7523074078362195,,,,,
Brc1cc(Br)cc(Br)c1,,,,,,,,,
Brc1ccc(NC2=NCCC3(CCCCC3)S2)cc1,,,,,,,,,
Brc1cn[nH]c1,,,0.865524991098072,,,0.9205721838779494,,,-0.5042528323121444
Brc1cnc2[nH]ccc2c1,,-1.0785829746752886,-0.6643604621380194,-0.6282675180596902,-0.7883742610693003,-0.6582215873165046,-0.594105023209676,-0.7073569998577938,
Brc1sc(Br)c(Br)c1Br,,,-1.5087171887851594,-0.8894490379687836,,-1.8923665024632168,-1.3223607118346248,-1.4128647081691268,
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,,,-0.7182388002919592,,-1.1603781565172222,-0.5970734620488427,,,
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,-1.047917183230577,-1.1645265372098388,-1.0891089202125488,-0.7273696726089761,-1.46755033465162,-0.7884423562835867,-1.2197032061452948,-1.1232241258097253,-3.305557013018474
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,-0.5934612726050288,,-1.2292428367492632,-0.4466810227981788,-0.9144729589952928,,-1.0015540903047164,-0.9766753663677676,-2.847822097998232
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,,-1.6985121577457176,,,-1.9744500116512864,,-1.4149645054097186,,
C(=N/Nc1ccccc1)\c1ccc[nH]1,,,,,,,,,-4.489019458114034
C(=N/Nc1ccccc1)\c1ccco1,,,,,,,,,-4.498762457810566
C(=N/Nc1ccccc1)\c1cccs1,,,,,,,,,-4.541749745381413
C/C(=C/C(C)=N/c1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C,,,-1.486449602073045,,,-2.3064207789253905,,,
C/C=C/C(=O)O,,0.5855294613370328,0.9046144237070068,0.7629810727409708,0.8492174403441888,0.9424826509252148,0.6767490756539527,,
C/C=C/C=C/C(=O)O,-0.0514863689372063,-0.7244639741078844,0.016625073489024,-0.4214442913263125,-0.1357284281425779,0.0730917983402318,0.0028016393117436,-0.2661939873181692,
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,,,,,,,,,-4.624459850131668
C1=CONN=C1,,-0.3268017731089159,-1.5531330654617173,-1.225330253259756,-1.878894085869564,-1.1453828712262184,-1.6619482126977496,-1.835950900076174,
C1=Cc2cccc3cccc1c23,,,-0.8121784660730709,,-0.8939865571746385,,-0.6751947438429181,,
C1=Cc2ccccc2Nc2ccccc21,-0.5158783745289909,-1.103488668339366,,-0.806701447485075,,,,,
C1CCCC1,,,,,,,,,-2.636845917052877
C1CN2CN3CCN(CN1C3)C2,,,,,,,,,0.8307045906986663
C1N2CN3CN1CN(C2)C3,,,-0.7797453808222827,,,-0.2315584787142832,,,
C1OCOCO1,,,0.5602540749261318,,0.5495273865402042,0.8173162964074215,,,
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,,,-1.0622711486237946,,-1.0053235707835464,-1.4109556116198594,,-0.908917138191491,
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,-2.092367726654968,,-1.7390345070418731,-2.1281111926315512,-1.8074834200689904,-2.079816110084546,-1.6795890957772706,-1.6252806815394565,
C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,-1.670535839577029,-2.290105324349112,-1.8148102130508328,-1.6775051241322612,,-2.094146743408991,-1.5851995585384742,-1.7101051368599822,-3.654372794660381
C=C(CC(=O)O)C(=O)O,-0.1665999511856259,-1.0552069325313445,0.145388309330322,-1.004070088561807,0.0804200416978661,0.4678038644157904,,0.009391597543096,0.7414335256316406
C=C1CCC[C@]2(C)C[C@]3(O)OC(=O)C(C)=C3C[C@@H]12,,,-0.9349239498494804,-0.606886644353632,,,,,
C=C1CCN([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)CC1,0.6816515230478379,0.3675816660988348,0.4598595799807072,0.5346612138562391,0.1857119450139325,0.7767010888218492,0.2316512648364202,0.3449500193520136,-4.110283706483123
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,,,0.5640967097733444,0.3907051091388669,0.6251214003860788,,0.344560709425792,,-4.244539859579181
C=C1C[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O,0.4053661026866256,-0.4177603374658418,0.7724601709738411,0.1107108666812713,-2.045451259414294,,-1.215743950722033,,
C=C1C[C@]23C[C@H]1CC[C@H]2[C@@]12CC[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O,-0.0279653940796168,-0.906311399110662,-1.694003007067109,-0.7890813267115604,0.0895331537455962,0.2248735572519036,-0.0699486056226502,,-2.9341839351602577
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,-1.105541826267265,-1.6330771343971788,-1.2727895888980254,-1.3115855714730016,-1.9068469669206007,,-1.5435573623225542,,-5.1015812290595886
C=CC(=O)NC(C)(C)C,,,-1.532871984021576,-0.7904833182676023,,,,,-1.304388969077794
C=CC(=O)NC(C)(C)CC(C)=O,0.9458625551182614,,1.0103440885293489,0.7416626839531636,0.8345559605292842,1.2562828702821351,0.7923385826155862,0.9161372933062814,
C=CC(=O)NC(C)(C)CS(=O)(=O)O,-0.9626762076464884,-2.7588862058351227,-0.8113310927861467,-1.6927850237268718,-2.135455869162017,-0.5338651480842986,-1.2894765182257288,-1.1374914724042529,
C=CC(=O)NCO,,-0.0887344501807581,,-0.5874272170106765,,,,,
C=CC(=O)Nc1cc(F)c(Br)c(F)c1,,-0.8178353236490425,-0.356516971263974,,,-0.4496041709252433,,,
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,,,-2.094329687354488,-1.8823833100090888,,,,,-2.9901977686826515
C=CC(C)(O)CCC=C(C)C,,,,,,,,,-1.999640374947989
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1,,,,,,,,,-3.11652727046762
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1.O.O.O,-1.326267290775386,-2.6995065765986284,-1.3105564874184172,-3.13797723602769,-1.7124555933381247,-0.6534021468583271,-1.7814574548411146,,-3.0950413843202544
C=CCC,,,,,,,,,-2.277323637333053
C=CCc1ccc(O)c(OC)c1,,,,,,,,,-1.89888345119654
C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)[C@H](N)C(C)C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O.Cl,,,-0.0393278579799312,,,,,,-0.3217428968201039
C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)[C@H](N)C(C)C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O.O=C(O)C(O)C(O)C(=O)O,-1.802884376984524,,-1.27402226829907,,-1.955659570328827,,-1.850853312148152,,-2.086379939272858
C=NCC#N,,,-1.2832686090115528,,-1.7721670400705654,-0.7307264409292271,-2.0482920968568323,-1.611318308105245,-1.101063526988567
