,SMILES,LogS_water,LogS_ethanol,LogS_benzene,LogS_acetone
0,S(C)c1nc(NC(C)C)nc(NC(C)C)n1,-4.1,,,
1,O=[N+]([O-])C1C(=O)NC(=O)NC1=O,-2.28,,,
2,Clc1cc2C(=NC(O)C(=O)Nc2cc1)c1ccccc1,-3.95,,,
3,C(CC)(CC)(C)C,-4.23,,,
4,C(=C)CCCCCCCC,-5.51,,,
5,S(=O)(=O)(NC(=O)NCCCC)c1ccccc1,-3.05,,,
6,O=[N+]([O-])c1cc(C(=O)O)ccc1,-1.71997,,,
7,O=c1oc2c(c(C)c1)ccc(N(CC)CC)c2,-4.001,,,
8,Fc1ccc(C(=O)CCCN2CCC(O)(c3ccc(C)cc3)CC2)cc1,-4.347,,,
9,Clc1c(S(=O)(=O)N)cc2C(=O)NC(CC)Nc2c1,-3.29,,,
10,ClC(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-7.199998,,,
11,S=P(SCC(=O)N(C=O)C)(OC)OC,-2.0,,,
12,S(=O)(=O)(N)c1sc2C(=O)CCSc2c1,-3.494,,,
13,FC12C3(C)C(=CC(=O)C=C3)CCC1C1C(C)(C(O)(C(=O)COC(=O)C)C(C)C1)CC2O,-4.9,,,
14,O=C(Nc1ccccc1)C1=C(OCCS1(=O)=O)C,-2.43,,,
15,O=[N+]([O-])c1cc(N)c(OCC)cc1,-3.211,,,
16,OCCCCC,-0.6,,,
17,O=C(OC(C(=O)NCC)C)Nc1ccccc1,-1.83,,,
18,O=c1n2c(ccc1)C1CNCC(C2)C1,0.36,,,
19,Brc1cc2c(cc1)cccc2,-4.4,,,
20,S(=O)(=O)(N)c1sc2S(=O)(=O)CC(O)Cc2c1,-1.539,,,
21,Clc1c(S(=O)(=O)N)cc2C(=O)N(c3c(C)cccc3)C(C)Nc2c1,-3.78,,,
22,S(CCN/C(=N/C)/NC#N)Cc1c(C)[nH]cn1,-1.40229,,,
23,OC(CC)CC,-0.24,,,
24,O=C(O)c1c(C(=O)O)ccc(C(=O)O)c1,-0.397,,,
25,ClN(Cl)S(=O)(=O)c1ccc(C)cc1,-3.509,,,
26,Cc1c2c(c(C)c3c1cccc3)ccc1c2cccc1,-7.020001,,,
27,S=P(ON=C(C#N)c1ccccc1)(OCC)OCC,-4.86,,,
28,Oc1c2c(cc3c1cccc3)cccc2,-4.73,,,
29,O=c1nc2n(CC(O)C(O)C(O)CO)c3c(nc2c(=O)[nH]1)cc(C)c(C)c3,-3.68,,,
30,S(SC(=S)N(CC)CC)C(=S)N(CC)CC,-4.71725,,,
31,O=C(N(C)C)N(C)C,0.94,,,
32,O=C(COC(=O)c1ccccc1)N1CCOCC1,-1.773,,,
33,c1(C2OC2)ccccc1,-1.6,,,
34,Clc1ccc(C(O)(C(=O)OC(C)C)c2ccc(Cl)cc2)cc1,-4.53,,,
35,O=C(O)C(N)C(O)C,-0.09,,,
36,Clc1c(Oc2ccc(OC(C(=O)OC)C)cc2)ccc(Cl)c1,-3.82,,,
37,O=C(OC)C=C,-0.22,,,
38,c12c3c4ccc1cccc2ccc3ccc4,-6.172998,,,
39,O=c1c(CCCC)c(C)nc(NCC)[nH]1,-3.02497,,,
40,FC1(F)C(F)(F)C(F)(F)C1(F)F,-3.92,,,
41,o1c2c(nc1)cccc2,-1.16,,,
42,OCCC,0.62,,,
43,Clc1c([N+](=O)[O-])cccc1,-2.55,,,
44,Oc1cc2c(cc1)C1C(C3C(C)(C(O)(C#C)CC3)CC1)CC2,-4.3,,,
45,C(CCCCCCC)CCCCCC,-7.959992,,,
46,S(=O)(=O)(N)c1sc2S(=O)(=O)CCC(=O)c2c1,-3.018,,,
47,C(CCCC)CCCC,-5.88,,,
48,Clc1ccc(NC(=O)N(C)C)cc1,-2.91256,,,
49,O=[N+]([O-])c1ccc(OC)cc1,-2.41,,,
50,Clc1c2C(=O)c3c(C(=O)c2ccc1)cccc3,-5.54,,,
51,Fc1c([N+](=O)[O-])cc(C(=O)O)cc1,-1.579,,,
52,S(=O)(=O)(N=C(N)N)c1ccc(N)cc1,-1.98497,,,
53,ClCC1OC1,-0.15,,,
54,Fc1c(N2C(CC)C(N)C2)cc2n(C3CC3)cc(C(=O)O)c(=O)c2c1,-3.912,,,
55,O=C(OCC(C)C)N,-0.3,,,
56,OC(CC)C,0.43,,,
57,O=[N+]([O-])c1ccc(O)cc1,-0.74,,,
58,O=[N+]([O-])c1c(NC(=O)C)cccc1,-1.91,,,
59,O=[N+]([O-])c1cc2C(=O)OC(CC)(CC)c2cc1,-3.656,,,
60,O(C)c1cc2[nH]c3c(C)nccc3c2cc1,-4.48,,,
61,OCCCCCCCCCCCCCCCC,-7.260001,,,
62,O=C(OCC)CCCCCCCC,-3.8,,,
63,C(CC(C)C)(C)C,-4.26,,,
64,S(=O)(=O)(N)c1sc(NC(=O)C)nn1,-2.43058,,,
65,O(C(C)(C)C)C,-0.24,,,
66,Clc1c(c2ccc(Cl)cc2)ccc(Cl)c1,-6.21,,,
67,O=C1C(=NO)c2c(cccc2)C=C1,-2.937,,,
68,C(CCCCCCCCCC)CCCCCCCCC,-8.169989,,,
69,Clc1c(Cl)ccc(NC(=O)N(CCCC)C)c1,-4.77,,,
70,Oc1c(N)cccc1,-0.72,,,
71,N(C(CN1c2c(Sc3c1cccc3)cccc2)C)(CC)CC,-2.145,,,
72,O=[N+]([O-])c1c(C)c(C(=O)O)cc([N+](=O)[O-])c1,-2.6,,,
73,Clc1c(Cl)c(Cl)cc(Cl)c1Cl,-5.654971,,,
74,O=C(O)C(=C)C,0.01,,,
75,O=[N+]([O-])c1c(OC)cccc1,-1.96,,,
76,ClC1=CC2C(C3(C1=CC(=O)C=C3)C)CCC1(C2CCC1(OC(=O)C)C(=O)C)C,-4.95,,,
77,O=C(Nc1ccc(N)cc1)C,-0.98,,,
78,Clc1c(OC(C)C)cc(n2c(=O)oc(C(C)(C)C)n2)c(Cl)c1,-5.69,,,
79,O=C1C=C2C(C)(C3C(C4C(C)(C(O)(C#C)CC4)CC3)CC2)CC1,-5.66,,,
80,C1=CC=CCC=C1,-2.15,,,
81,O=C1C(=C(O)[C@@H]([C@@H](O)CO)O1)O,0.239374,,,
82,O=C1C(=C(O)C(C(O)CO)O1)O,-0.805,,,
83,Oc1c(CCCC)c(C)nc(N(C)C)n1,-2.24,,,
84,ONc1ccccc1,-0.74,,,
85,ClCCN(CCCl)P1(=O)OCCCN1,-0.815,,,
86,Clc1c(Cl)cccc1[N+](=O)[O-],-3.48,,,
87,S(=O)(=O)(N)c1scc(C(=O)c2ccc(OC)cc2)c1,-4.473,,,
88,O=C(O)C(N)Cc1ccccc1,-0.74473,,,
89,Cc1c2c(cc3c1cccc3)cccc2,-5.89,,,
90,n1c2nccnc2cnc1,0.02,,,
